fips,county_name_long,county_name,state_name
01001,Autauga County,Autauga,Alabama
01003,Baldwin County,Baldwin,Alabama
01005,Barbour County,Barbour,Alabama
01007,Bibb County,Bibb,Alabama
01009,Blount County,Blount,Alabama
01011,Bullock County,Bullock,Alabama
01013,Butler County,Butler,Alabama
01015,Calhoun County,Calhoun,Alabama
01017,Chambers County,Chambers,Alabama
01019,Cherokee County,Cherokee,Alabama
01021,Chilton County,Chilton,Alabama
01023,Choctaw County,Choctaw,Alabama
01025,Clarke County,Clarke,Alabama
01027,Clay County,Clay,Alabama
01029,Cleburne County,Cleburne,Alabama
01031,Coffee County,Coffee,Alabama
01033,Colbert County,Colbert,Alabama
01035,Conecuh County,Conecuh,Alabama
01037,Coosa County,Coosa,Alabama
01039,Covington County,Covington,Alabama
01041,Crenshaw County,Crenshaw,Alabama
01043,Cullman County,Cullman,Alabama
01045,Dale County,Dale,Alabama
01047,Dallas County,Dallas,Alabama
01049,DeKalb County,DeKalb,Alabama
01051,Elmore County,Elmore,Alabama
01053,Escambia County,Escambia,Alabama
01055,Etowah County,Etowah,Alabama
01057,Fayette County,Fayette,Alabama
01059,Franklin County,Franklin,Alabama
01061,Geneva County,Geneva,Alabama
01063,Greene County,Greene,Alabama
01065,Hale County,Hale,Alabama
01067,Henry County,Henry,Alabama
01069,Houston County,Houston,Alabama
01071,Jackson County,Jackson,Alabama
01073,Jefferson County,Jefferson,Alabama
01075,Lamar County,Lamar,Alabama
01077,Lauderdale County,Lauderdale,Alabama
01079,Lawrence County,Lawrence,Alabama
01081,Lee County,Lee,Alabama
01083,Limestone County,Limestone,Alabama
01085,Lowndes County,Lowndes,Alabama
01087,Macon County,Macon,Alabama
01089,Madison County,Madison,Alabama
01091,Marengo County,Marengo,Alabama
01093,Marion County,Marion,Alabama
01095,Marshall County,Marshall,Alabama
01097,Mobile County,Mobile,Alabama
01099,Monroe County,Monroe,Alabama
01101,Montgomery County,Montgomery,Alabama
01103,Morgan County,Morgan,Alabama
01105,Perry County,Perry,Alabama
01107,Pickens County,Pickens,Alabama
01109,Pike County,Pike,Alabama
01111,Randolph County,Randolph,Alabama
01113,Russell County,Russell,Alabama
01115,St. Clair County,St. Clair,Alabama
01117,Shelby County,Shelby,Alabama
01119,Sumter County,Sumter,Alabama
01121,Talladega County,Talladega,Alabama
01123,Tallapoosa County,Tallapoosa,Alabama
01125,Tuscaloosa County,Tuscaloosa,Alabama
01127,Walker County,Walker,Alabama
01129,Washington County,Washington,Alabama
01131,Wilcox County,Wilcox,Alabama
01133,Winston County,Winston,Alabama
02013,Aleutians East Borough,Aleutians East Borough,Alaska
02016,Aleutians West Census Area,Aleutians West Census Area,Alaska
02020,Anchorage Municipality,Anchorage Municipality,Alaska
02050,Bethel Census Area,Bethel Census Area,Alaska
02060,Bristol Bay Borough,Bristol Bay Borough,Alaska
02068,Denali Borough,Denali Borough,Alaska
02070,Dillingham Census Area,Dillingham Census Area,Alaska
02090,Fairbanks North Star Borough,Fairbanks North Star Borough,Alaska
02100,Haines Borough,Haines Borough,Alaska
02105,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,Alaska
02110,Juneau City and Borough,Juneau City and Borough,Alaska
02122,Kenai Peninsula Borough,Kenai Peninsula Borough,Alaska
02130,Ketchikan Gateway Borough,Ketchikan Gateway Borough,Alaska
02150,Kodiak Island Borough,Kodiak Island Borough,Alaska
02158,Kusilvak Census Area,Kusilvak Census Area,Alaska
02164,Lake and Peninsula Borough,Lake and Peninsula Borough,Alaska
02170,Matanuska-Susitna Borough,Matanuska-Susitna Borough,Alaska
02180,Nome Census Area,Nome Census Area,Alaska
02185,North Slope Borough,North Slope Borough,Alaska
02188,Northwest Arctic Borough,Northwest Arctic Borough,Alaska
02195,Petersburg Borough,Petersburg Borough,Alaska
02198,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,Alaska
02220,Sitka City and Borough,Sitka City and Borough,Alaska
02230,Skagway Municipality,Skagway Municipality,Alaska
02240,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,Alaska
02261,Valdez-Cordova Census Area,Valdez-Cordova Census Area,Alaska
02275,Wrangell City and Borough,Wrangell City and Borough,Alaska
02282,Yakutat City and Borough,Yakutat City and Borough,Alaska
02290,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,Alaska
04001,Apache County,Apache,Arizona
04003,Cochise County,Cochise,Arizona
04005,Coconino County,Coconino,Arizona
04007,Gila County,Gila,Arizona
04009,Graham County,Graham,Arizona
04011,Greenlee County,Greenlee,Arizona
04012,La Paz County,La Paz,Arizona
04013,Maricopa County,Maricopa,Arizona
04015,Mohave County,Mohave,Arizona
04017,Navajo County,Navajo,Arizona
04019,Pima County,Pima,Arizona
04021,Pinal County,Pinal,Arizona
04023,Santa Cruz County,Santa Cruz,Arizona
04025,Yavapai County,Yavapai,Arizona
04027,Yuma County,Yuma,Arizona
05001,Arkansas County,Arkansas,Arkansas
05003,Ashley County,Ashley,Arkansas
05005,Baxter County,Baxter,Arkansas
05007,Benton County,Benton,Arkansas
05009,Boone County,Boone,Arkansas
05011,Bradley County,Bradley,Arkansas
05013,Calhoun County,Calhoun,Arkansas
05015,Carroll County,Carroll,Arkansas
05017,Chicot County,Chicot,Arkansas
05019,Clark County,Clark,Arkansas
05021,Clay County,Clay,Arkansas
05023,Cleburne County,Cleburne,Arkansas
05025,Cleveland County,Cleveland,Arkansas
05027,Columbia County,Columbia,Arkansas
05029,Conway County,Conway,Arkansas
05031,Craighead County,Craighead,Arkansas
05033,Crawford County,Crawford,Arkansas
05035,Crittenden County,Crittenden,Arkansas
05037,Cross County,Cross,Arkansas
05039,Dallas County,Dallas,Arkansas
05041,Desha County,Desha,Arkansas
05043,Drew County,Drew,Arkansas
05045,Faulkner County,Faulkner,Arkansas
05047,Franklin County,Franklin,Arkansas
05049,Fulton County,Fulton,Arkansas
05051,Garland County,Garland,Arkansas
05053,Grant County,Grant,Arkansas
05055,Greene County,Greene,Arkansas
05057,Hempstead County,Hempstead,Arkansas
05059,Hot Spring County,Hot Spring,Arkansas
05061,Howard County,Howard,Arkansas
05063,Independence County,Independence,Arkansas
05065,Izard County,Izard,Arkansas
05067,Jackson County,Jackson,Arkansas
05069,Jefferson County,Jefferson,Arkansas
05071,Johnson County,Johnson,Arkansas
05073,Lafayette County,Lafayette,Arkansas
05075,Lawrence County,Lawrence,Arkansas
05077,Lee County,Lee,Arkansas
05079,Lincoln County,Lincoln,Arkansas
05081,Little River County,Little River,Arkansas
05083,Logan County,Logan,Arkansas
05085,Lonoke County,Lonoke,Arkansas
05087,Madison County,Madison,Arkansas
05089,Marion County,Marion,Arkansas
05091,Miller County,Miller,Arkansas
05093,Mississippi County,Mississippi,Arkansas
05095,Monroe County,Monroe,Arkansas
